Flower group,Flower name,url,Containers,Flower Time,Flowers,Leaves,Life cycle,Miscellaneous,Plant Habit,Resistances,Soil pH Preferences,Suitable Locations,Sun Requirements,Uses,Wildlife Attractant,Flower Color,Inflorescence Height,Plant Spread,Awards and Recognitions,Parentage,Child plants,Plant Height,Fruit,Minimum cold hardiness,Propagation: Other methods,Propagation: Seeds,Toxicity,Bloom Size
agaves,Squid Agave (Agave bracteosa),https://garden.org/plants/view/116383/Squid-Agave-Agave-bracteosa/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots",,Showy,Evergreen,Perennial,Monocarpic,Cactus/Succulent,"Deer Resistant, Drought tolerant",,Xeriscapic,Full Sun to Partial Shade,Will Naturalize,,,,18 inches,,,,,Dehiscent,,"Cuttings: Stem, Offsets, Other: Bulbils","Can handle transplanting, Other info:  Sow in shallow pots with a well draining, sterile mix; 50/50 organic/inorganic of coarse perlite, pumice; sphagnum peat or good compost. Avoid manures. Irrigate from below by submerging in water to 1/2 height of pot. Provide bright, indirect light and a",Other: The juice from many species of agave can cause acute contact dermatitis that produces reddening and blistering lasting approximately one to two weeks. Itching may recur up to a year later without a visible rash. Dried parts of the plants can be handled sa,
agaves,Artichoke Agave (Agave parryi var. truncata),https://garden.org/plants/view/118156/Artichoke-Agave-Agave-parryi-var-truncata/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots",,Showy,"Glaucous, Unusual foliage color, Evergreen",Perennial,"With thorns/spines/prickles/teeth, Monocarpic",Cactus/Succulent,"Deer Resistant, Drought tolerant",,Xeriscapic,Full Sun,Will Naturalize,,,,2-3 feet or more,,,,,Dehiscent,Zone 8a -12.2 °C (10 °F) to -9.4 °C (15 °F),"Cuttings: Stem, Offsets, Other: Bulbils","Can handle transplanting, Other info:  Sow in shallow pots with a well draining, sterile mix; 50/50 organic/inorganic of coarse perlite, pumice; sphagnum peat or good compost. Avoid manures. Irrigate from below by submerging in water to 1/2 height of pot. Provide bright, indirect light and a",Other: The juice from many species of agave can cause acute contact dermatitis that produces reddening and blistering lasting approximately one to two weeks. Itching may recur up to a year later without a visible rash. Dried parts of the plants can be handled sa,
agaves,Variegated Queen Victoria Century Plant (Agave victoriae-reginae 'Albomarginata'),https://garden.org/plants/view/770593/Variegated-Queen-Victoria-Century-Plant-Agave-victoriae-reginae-Albomarginata/,Needs excellent drainage in pots,,Showy,Evergreen,Perennial,With thorns/spines/prickles/teeth,Cactus/Succulent,Deer Resistant,,Xeriscapic,Full Sun,,,,,,,,,,Dehiscent,,"Cuttings: Stem, Offsets",,,
agaves,Compact Queen Victoria Agave (Agave victoriae-reginae subsp. swobodae),https://garden.org/plants/view/148791/Compact-Queen-Victoria-Agave-Agave-victoriae-reginae-subsp-swobodae/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots",,Showy,Evergreen,Perennial,"With thorns/spines/prickles/teeth, Monocarpic",Cactus/Succulent,"Deer Resistant, Drought tolerant",,Xeriscapic,Full Sun,Will Naturalize,,,,10 inches or more if allowed to clump,,,,,Dehiscent,,"Cuttings: Stem, Offsets, Other: Bulbils","Can handle transplanting, Other info:  Sow in shallow pots with a well draining, sterile mix; 50/50 organic/inorganic of coarse perlite, pumice; sphagnum peat or good compost. Avoid manures. Irrigate from below by submerging in water to 1/2 height of pot. Provide bright, indirect light and a",Other: The juice from many species of agave can cause acute contact dermatitis that produces reddening and blistering lasting approximately one to two weeks. Itching may recur up to a year later without a visible rash. Dried parts of the plants can be handled sa,
agaves,Kaibab Agave (Agave utahensis subsp. kaibabensis),https://garden.org/plants/view/223755/Kaibab-Agave-Agave-utahensis-subsp-kaibabensis/,Needs excellent drainage in pots,,Showy,Evergreen,Perennial,"With thorns/spines/prickles/teeth, Monocarpic",Cactus/Succulent,Deer Resistant,,Xeriscapic,Full Sun,Will Naturalize,,,,,,,,,Dehiscent,Zone 7b -15 °C (5 °F) to -12.2 °C (10 °F),"Cuttings: Stem, Offsets, Other: Bulbils","Can handle transplanting, Other info:  Sow in shallow pots with a well draining, sterile mix; 50/50 organic/inorganic of coarse perlite, pumice; sphagnum peat or good compost. Avoid manures. Irrigate from below by submerging in water to 1/2 height of pot. Provide bright, indirect light and a",Other: The juice from many species of agave can cause acute contact dermatitis that produces reddening and blistering lasting approximately one to two weeks. Itching may recur up to a year later without a visible rash. Dried parts of the plants can be handled sa,
aloes,Aloes (Aloe),https://garden.org/plants/view/242252/Aloes-Aloe/,Needs excellent drainage in pots,,Showy,Evergreen,Perennial,,Cactus/Succulent,,,Xeriscapic,,Will Naturalize,Hummingbirds,,,,,,,,,,,,,
aloes,Dune Aloe (Aloe thraskii),https://garden.org/plants/view/117121/Dune-Aloe-Aloe-thraskii/,Needs excellent drainage in pots,Winter,Showy,"Glaucous, Evergreen",Perennial,"Tolerates poor soil, With thorns/spines/prickles/teeth","Tree, Cactus/Succulent","Drought tolerant, Salt tolerant",,"Beach Front, Xeriscapic",Full Sun,"Provides winter interest, Flowering Tree, Will Naturalize",Hummingbirds,"Orange, Yellow",,,,,,Up to 6-10 feet,Dehiscent,Zone 9b -3.9 °C (25 °F) to -1.1 °C (30 °F),"Cuttings: Stem, Offsets, Other: Stems cut below a node root easily. Cut a stem that has gotten leggy, let it dry out for at least a few hours to form a seal on the cut surface. Place the cutting in rooting medium kept moist, but not wet, until roots form.","Self fertile, Can handle transplanting, Other info: Sow seeds in sandy soil. Seeds germinate in a few weeks at temperatures between 68 and 75 degrees F. Seedlings need moist but well-drained soil.",,
aloes,Malagasy Tree Aloe (Aloe vaombe),https://garden.org/plants/view/117122/Malagasy-Tree-Aloe-Aloe-vaombe/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots",Late winter or early spring,Showy,Evergreen,Perennial,"Tolerates poor soil, With thorns/spines/prickles/teeth","Tree, Cactus/Succulent",Drought tolerant,,Xeriscapic,Full Sun,"Provides winter interest, Flowering Tree, Will Naturalize",Hummingbirds,Red,About 3 feet,,,,,Up to 10 feet,Dehiscent,Zone 9b -3.9 °C (25 °F) to -1.1 °C (30 °F),,"Can handle transplanting, Other info: Sow seeds in sandy soil. Seeds germinate in a few weeks at temperatures between 68 and 75 degrees F. Seedlings need moist but well-drained soil.",,"1""-2"""
aloes,Quiver Tree (Aloidendron dichotomum),https://garden.org/plants/view/113575/Quiver-Tree-Aloidendron-dichotomum/,Needs excellent drainage in pots,Summer,Showy,"Glaucous, Evergreen",Perennial,Tolerates poor soil,"Tree, Cactus/Succulent",Drought tolerant,,Xeriscapic,Full Sun,"Flowering Tree, Will Naturalize","Birds, Hummingbirds, Other Beneficial Insects",Yellow,12 inches,,,,,30 feet,Dehiscent,Zone 9a -6.7 °C (20 °F) to -3.9 °C (25 °F),Cuttings: Stem,"Can handle transplanting, Other info: Sow seeds in sandy soil. Seeds germinate in a few weeks at temperatures between 68 and 75 degrees F. Seedlings need moist but well-drained soil.",,"1""-2"""
aloes,Bitter Aloe (Aloe ferox),https://garden.org/plants/view/117066/Bitter-Aloe-Aloe-ferox/,Needs excellent drainage in pots,"Late fall or early winter, Winter",Showy,"Glaucous, Evergreen",Perennial,"Tolerates poor soil, With thorns/spines/prickles/teeth","Tree, Cactus/Succulent",Drought tolerant,,Xeriscapic,Full Sun,"Provides winter interest, Flowering Tree, Medicinal Herb, Will Naturalize","Bees, Hummingbirds","Orange, Red, White",About 3 feet,3-4 feet,,,,Up to 9-12 feet,Dehiscent,Zone 9a -6.7 °C (20 °F) to -3.9 °C (25 °F),,"Can handle transplanting, Other info: Sow seeds in sandy soil. Seeds germinate in a few weeks at temperatures between 68 and 75 degrees F. Seedlings need moist but well-drained soil.",,"1""-2"""
aloes,Flat-Flowered Aloe (Aloe marlothii),https://garden.org/plants/view/112371/Flat-Flowered-Aloe-Aloe-marlothii/,Needs excellent drainage in pots,Winter,"Showy, Other: Secund","Glaucous, Evergreen",Perennial,"Tolerates poor soil, With thorns/spines/prickles/teeth","Tree, Cactus/Succulent",Drought tolerant,,Xeriscapic,Full Sun,"Provides winter interest, Flowering Tree, Will Naturalize",Hummingbirds,"Red, Yellow",,3-4 feet,,,,Up to 12-18 feet,Dehiscent,,"Cuttings: Stem, Offsets, Other: Stems cut below a node root easily. Cut a stem that has gotten leggy, let it dry out for at least a few hours to form a seal on the cut surface. Place the cutting in rooting medium kept moist, but not wet, until roots form.","Can handle transplanting, Other info: Sow seeds in sandy soil. Seeds germinate in a few weeks at temperatures between 68 and 75 degrees F. Seedlings need moist but well-drained soil.",,
aloes,Mountain Aloe (Aloe broomii),https://garden.org/plants/view/124619/Mountain-Aloe-Aloe-broomii/,Needs excellent drainage in pots,Spring,Showy,Evergreen,Perennial,With thorns/spines/prickles/teeth,Cactus/Succulent,Drought tolerant,,Xeriscapic,Full Sun to Partial Shade,Will Naturalize,Hummingbirds,Yellow,Up to 3 feet,,,,,,Dehiscent,Zone 9b -3.9 °C (25 °F) to -1.1 °C (30 °F),,"Can handle transplanting, Other info: Sow seeds in sandy soil. Seeds germinate in a few weeks at temperatures between 68 and 75 degrees F. Seedlings need moist but well-drained soil.",,"Under 1"""
aloes,Aloe 'Orange Marmalade',https://garden.org/plants/view/743146/Aloe-Orange-Marmalade/,Needs excellent drainage in pots,,Showy,Evergreen,Perennial,,Cactus/Succulent,,,Xeriscapic,,Will Naturalize,Hummingbirds,,,,,,,,,,"Cuttings: Stem, Offsets, Other: Stems cut below a node root easily. Cut a stem that has gotten leggy, let it dry out for at least a few hours to form a seal on the cut surface. Place the cutting in rooting medium kept moist, but not wet, until roots form.",,,
aloes,Soap Aloe (Aloe maculata),https://garden.org/plants/view/71525/Soap-Aloe-Aloe-maculata/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots","Summer, Other: Repeat blooms (3 times/year) in sub-tropical climate",Showy,Evergreen,Perennial,With thorns/spines/prickles/teeth,Cactus/Succulent,Drought tolerant,,"Xeriscapic, Houseplant",Full Sun to Partial Shade,Will Naturalize,Hummingbirds,"Orange, Red, Yellow",,12-36 inches,,,,18-24 inches,Dehiscent,Zone 8b -9.4 °C (15 °F) to -6.7 °C (20 °F),"Cuttings: Stem, Division, Offsets, Other: Stems cut below a node root easily. Cut a stem that has gotten leggy, let it dry out for at least a few hours to form a seal on the cut surface. Place the cutting in rooting medium kept moist, but not wet, until roots form.","Can handle transplanting, Other info: Sow seeds in sandy soil. Seeds germinate in a few weeks at temperatures between 68 and 75 degrees F. Seedlings need moist but well-drained soil.",,
apples,Flowering Crabapple (Malus Golden Raindrops),https://garden.org/plants/view/130043/Flowering-Crabapple-Malus-Golden-Raindrops/,,"Spring, Late spring or early summer","Showy, Fragrant",Deciduous,,,Tree,,,,,Flowering Tree,Bees,,,,Other: 2003 Great Plant Picks Award Winner,,,,Edible to birds,,,,,
apples,Apple (Malus pumila 'Braeburn'),https://garden.org/plants/view/137896/Apple-Malus-pumila-Braeburn/,Not suitable for containers,"Spring, Late spring or early summer","Showy, Fragrant","Good fall color, Deciduous",,,Tree,,,,Full Sun,"Shade Tree, Flowering Tree","Bees, Birds, Butterflies",White,,10 to 15 feet,,Lady Hamilton x unknown,6 child plants,12 to 16 feet,"Showy, Edible to birds",Zone 5a -28.9 °C (-20 °F) to -26.1 °C (-15 °F),,,,
apples,Crabapple (Malus 'Prairie Fire'),https://garden.org/plants/view/536122/Crabapple-Malus-Prairie-Fire/,Not suitable for containers,"Spring, Late spring or early summer","Showy, Fragrant","Good fall color, Unusual foliage color, Deciduous",,,Tree,,,,Full Sun,Flowering Tree,"Bees, Birds, Butterflies",Pink,,12-15 feet,,,,12-15 feet,"Showy, Edible to birds",Zone 3 -40 °C (-40 °F) to -37.2 °C (-35),,,,
apples,Apple (Malus pumila 'Red Rome'),https://garden.org/plants/view/161973/Apple-Malus-pumila-Red-Rome/,Not suitable for containers,"Spring, Late spring or early summer","Showy, Fragrant","Good fall color, Deciduous",Perennial,Goes Dormant,Tree,Humidity tolerant,,,Full Sun,"Shade Tree, Flowering Tree","Bees, Birds, Butterflies",White,,Varies Dwarf-Semi-Dwarf To Standard: 8 To 15 Feet,,,,Varies Dwarf-Semi-Dwarf To Standard: 8 To 20 Feet,"Showy, Edible to birds",Zone 4a -34.4 °C (-30 °F) to -31.7 °C (-25 °F),,Will not come true from seed,,"1""-2"""
apples,Sargent's Crabapple (Malus sieboldii subsp. sieboldii 'Roselow'),https://garden.org/plants/view/133188/Sargents-Crabapple-Malus-sieboldii-subsp-sieboldii-Roselow/,,"Spring, Late spring or early summer","Showy, Fragrant",Deciduous,,,Tree,,,,,Flowering Tree,Bees,,,,,,,,Edible to birds,,,,,
apples,Apple (Malus pumila 'Red Delicious'),https://garden.org/plants/view/125714/Apple-Malus-pumila-Red-Delicious/,,"Spring, Late spring or early summer","Showy, Fragrant",Deciduous,,,Tree,,,,,Flowering Tree,Bees,,,,,Sport of: Delicious,19 child plants,,Edible to birds,,,,,
apples,Apple (Malus pumila 'Sweet Bough'),https://garden.org/plants/view/135559/Apple-Malus-pumila-Sweet-Bough/,,"Spring, Late spring or early summer","Showy, Fragrant",Deciduous,,,Tree,,,,,Flowering Tree,Bees,,,,,,,,Edible to birds,,,,,
apples,Crabapple (Malus 'Cardinal'),https://garden.org/plants/view/77715/Crabapple-Malus-Cardinal/,,"Spring, Late spring or early summer","Showy, Fragrant",Deciduous,,,Tree,,,,,Flowering Tree,Bees,,,,,,,,Edible to birds,,,,,
apples,Apples (Malus),https://garden.org/plants/view/86564/Apples-Malus/,,"Spring, Late spring or early summer","Showy, Fragrant",Deciduous,,,Tree,,,,,Flowering Tree,Bees,,,,,,,,Edible to birds,,,,,
apples,Apple (Malus pumila 'Winter Pearmain'),https://garden.org/plants/view/135594/Apple-Malus-pumila-Winter-Pearmain/,,"Spring, Late spring or early summer","Showy, Fragrant",Deciduous,,,Tree,,,,,Flowering Tree,Bees,,,,,,one child plant,,Edible to birds,,,,,
apricots,Apricots (Prunus armeniaca),https://garden.org/plants/view/114689/Apricots-Prunus-armeniaca/,,,Showy,Deciduous,Perennial,,Tree,,,,Full Sun to Partial Shade,,"Bees, Birds",White,,,,,,,"Showy, Edible to birds",Zone 5a -28.9 °C (-20 °F) to -26.1 °C (-15 °F),,Self fertile,,"1""-2"""
apricots,Apricot (Prunus armeniaca 'GoldCot'),https://garden.org/plants/view/130559/Apricot-Prunus-armeniaca-GoldCot/,,,Showy,Deciduous,Perennial,,Tree,,,,Full Sun to Partial Shade,,"Bees, Birds",White,,,,,,,"Showy, Edible to birds",Zone 5a -28.9 °C (-20 °F) to -26.1 °C (-15 °F),,Self fertile,,"1""-2"""
apricots,Apricot (Prunus armeniaca 'Gold Kist'),https://garden.org/plants/view/534467/Apricot-Prunus-armeniaca-Gold-Kist/,,,Showy,Deciduous,Perennial,,Tree,,,,Full Sun to Partial Shade,,"Bees, Birds",White,,,,,,,"Showy, Edible to birds",Zone 5a -28.9 °C (-20 °F) to -26.1 °C (-15 °F),,Self fertile,,"1""-2"""
arborvitaes,Arborvitaes (Thuja),https://garden.org/plants/view/710373/Arborvitaes-Thuja/,,,,"Evergreen, Needled",,,,,Neutral (6.6 – 7.3),,Full Sun to Partial Shade,Provides winter interest,,,,,,,,,,,,,,
arborvitaes,Arborvitae (Thuja 'Green Giant'),https://garden.org/plants/view/79214/Arborvitae-Thuja-Green-Giant/,,,,"Evergreen, Needled",Perennial,,Tree,"Deer Resistant, Drought tolerant","Slightly acid (6.1 – 6.5), Neutral (6.6 – 7.3), Slightly alkaline (7.4 – 7.8)",Street Tree,"Full Sun, Full Sun to Partial Shade","Windbreak or Hedge, Provides winter interest",,,,15 to 20  feet,Other: 1998 Pennsylvania Horticultural Society Gold Medal Plant Award,Thuja standishii  x Thuja plicata,2 child plants,30 to 60 feet,"Showy, Other: Persistent 1/2 inch oblong green cones, maturing to brown.",Zone 5a -28.9 °C (-20 °F) to -26.1 °C (-15 °F),Cuttings: Stem,,,
arborvitaes,American Arborvitae (Thuja occidentalis 'Hetz Midget'),https://garden.org/plants/view/79220/American-Arborvitae-Thuja-occidentalis-Hetz-Midget/,,,,"Evergreen, Fragrant, Needled, Other: Blue-green, scale-like, appearing in flat, fan shaped clusters.",Perennial,,Shrub,Pollution,"Neutral (6.6 – 7.3), Slightly alkaline (7.4 – 7.8)",,Full Sun to Partial Shade,"Windbreak or Hedge, Provides winter interest, Will Naturalize",,,,4 to 5 feet,,,,3 to 4 feet,,Zone 2 -45.6 °C (-50 °F) to -42.8 °C (-45°F),,,,
arborvitaes,Western Red Cedar (Thuja plicata),https://garden.org/plants/view/79233/Western-Red-Cedar-Thuja-plicata/,Not suitable for containers,Other,Inconspicuous,"Good fall color, Evergreen, Fragrant, Needled",Perennial,Tolerates poor soil,Tree,"Powdery Mildew, Birds, Deer Resistant, Gophers/Voles, Rabbit Resistant, Squirrels, Flood Resistant, Tolerates dry shade, Tolerates foot traffic, Humidity tolerant","Moderately acid (5.6 – 6.0), Slightly acid (6.1 – 6.5), Neutral (6.6 – 7.3)","Beach Front, Street Tree, Topiary",Full Sun,"Windbreak or Hedge, Provides winter interest, Erosion control, Shade Tree, Will Naturalize, Suitable for forage, Useful for timber production",,,,,Texas Superstar®,,,50-75 feet,,Zone 7a -17.8 °C (0 °F) to -15 °C (5 °F),Layering,"Provide light, Stratify seeds",,
arborvitaes,Western Red Cedar (Thuja plicata Forever Goldy®),https://garden.org/plants/view/712958/Western-Red-Cedar-Thuja-plicata-Forever-Goldy/,,,,"Good fall color, Unusual foliage color, Evergreen, Fragrant, Other: gold-yellow, orange color in Fall",Perennial,"Patent/Plant Breeders' Rights: USPP 19,267, Goes Dormant","Shrub, Tree",Drought tolerant,"Moderately acid (5.6 – 6.0), Slightly acid (6.1 – 6.5), Neutral (6.6 – 7.3)",Patio/Ornamental/Small Tree,"Full Sun to Partial Shade, Partial or Dappled Shade","Windbreak or Hedge, Provides winter interest",,,,5 feet,,Martin,one child plant,15-20 feet,,,,Will not come true from seed,,
arborvitaes,American Arborvitae (Thuja occidentalis 'Rheingold'),https://garden.org/plants/view/79225/American-Arborvitae-Thuja-occidentalis-Rheingold/,,,,"Evergreen, Fragrant, Needled, Other: juvenile foliage of bright gold",,,Shrub,,"Neutral (6.6 – 7.3), Slightly alkaline (7.4 – 7.8)",Topiary,Full Sun to Partial Shade,"Windbreak or Hedge, Provides winter interest",,,,,,Sport of: Ellwangeriana Aurea,,,,,,,,
arborvitaes,Western Red Cedar (Thuja plicata 'Whipcord'),https://garden.org/plants/view/117863/Western-Red-Cedar-Thuja-plicata-Whipcord/,,,,"Unusual foliage color, Evergreen, Fragrant, Needled",,,Shrub,,"Moderately acid (5.6 – 6.0), Slightly acid (6.1 – 6.5), Neutral (6.6 – 7.3)",,Full Sun to Partial Shade,Provides winter interest,,,,4 to 5 feet (1.2-1.5m),,,,4 to 5 feet (1.2-1.5m),,,,,,
arborvitaes,Northern White Cedar (Thuja occidentalis Mr. Bowling Ball™),https://garden.org/plants/view/639125/Northern-White-Cedar-Thuja-occidentalis-Mr-Bowling-Ball/,,,,"Evergreen, Fragrant, Needled",,,,,"Neutral (6.6 – 7.3), Slightly alkaline (7.4 – 7.8)",,Full Sun to Partial Shade,Provides winter interest,,,,,,,,,,,,,,
artichokes,Globe Artichoke (Cynara scolymus 'Green Globe'),https://garden.org/plants/view/163965/Globe-Artichoke-Cynara-scolymus-Green-Globe/,,Summer,,,Perennial,,,Salt tolerant,,,,Vegetable,Bees,,,,,,,,,Zone 6a -23.3 °C (-10 °F) to -20.6 °C (-5 °F),,,,
artichokes,Artichokes (Cynara scolymus),https://garden.org/plants/view/87062/Artichokes-Cynara-scolymus/,,Summer,,,Perennial,,,Salt tolerant,,,,Vegetable,Bees,,,,,,,,,Zone 6a -23.3 °C (-10 °F) to -20.6 °C (-5 °F),,,,
artichokes,Globe Artichoke (Cynara scolymus 'Violet de Provence'),https://garden.org/plants/view/646281/Globe-Artichoke-Cynara-scolymus-Violet-de-Provence/,,Summer,,,Perennial,Tolerates poor soil,,"Drought tolerant, Salt tolerant",,,Full Sun,Vegetable,Bees,,,,,,,,Showy,Zone 6a -23.3 °C (-10 °F) to -20.6 °C (-5 °F),,,,
asparagus,Wild Asparagus (Asparagus officinalis 'Jersey Knight'),https://garden.org/plants/view/75383/Wild-Asparagus-Asparagus-officinalis-Jersey-Knight/,,Late spring or early summer,,,Perennial,,,Salt tolerant,,,,Vegetable,Bees,,,,,,,,,Zone 4a -34.4 °C (-30 °F) to -31.7 °C (-25 °F),,Self fertile,,
asparagus,Wild Asparagus (Asparagus officinalis 'Mary Washington'),https://garden.org/plants/view/92385/Wild-Asparagus-Asparagus-officinalis-Mary-Washington/,,Late spring or early summer,Inconspicuous,,Perennial,,Herb/Forb,Salt tolerant,,,Full Sun,Vegetable,Bees,White,,,,,,To 6 feet,"Showy, Other: Red seeds on female plants.",Zone 4a -34.4 °C (-30 °F) to -31.7 °C (-25 °F),,Self fertile,,"Under 1"""
asparagus,Asparagus (Asparagus officinalis),https://garden.org/plants/view/86226/Asparagus-Asparagus-officinalis/,,Late spring or early summer,,,Perennial,,,Salt tolerant,,,,Vegetable,Bees,,,,,,,,,Zone 4a -34.4 °C (-30 °F) to -31.7 °C (-25 °F),,Self fertile,,
asparagus,Asparagus officinalis 'Mondeo',https://garden.org/plants/view/768525/Asparagus-officinalis-Mondeo/,,Late spring or early summer,,,Perennial,,,Salt tolerant,,,,Vegetable,Bees,,,,,,,,,Zone 4a -34.4 °C (-30 °F) to -31.7 °C (-25 °F),,Self fertile,,
asters,Asters (Aster),https://garden.org/plants/view/232412/Asters-Aster/,,,Showy,,,,Herb/Forb,,,,,,Bees,,,,,,,,,,,,,
asters,Aster (Aster x frikartii 'Monch'),https://garden.org/plants/view/75404/Aster-Aster-x-frikartii-Monch/,"Suitable in 3 gallon or larger, Needs excellent drainage in pots","Summer, Late summer or early fall, Fall",Showy,,,,Herb/Forb,"Powdery Mildew, Rabbit Resistant",,,"Full Sun, Full Sun to Partial Shade",Cut Flower,"Bees, Birds, Butterflies",Blue,,24 inches,"RHS AGM, Other: 2007 Great Plant Picks award winner",,,24 - 36 inches,,,"Cuttings: Stem, Division",,,
